Date,Page Views,Visitors,Registrations
2025-06-13,7,1,1
2025-06-14,5,2,0
2025-06-15,1,1,0
2025-06-16,1,1,0
2025-06-17,19,18,3
2025-06-18,8,7,1
2025-06-19,6,3,0
2025-06-20,3,3,0
2025-06-21,2,2,1
2025-06-22,0,0,0
2025-06-23,3,3,1
2025-06-24,13,9,2
2025-06-25,1,1,0
2025-06-26,2,2,1
2025-06-27,1,1,0
2025-06-28,1,1,0
2025-06-29,4,3,0
2025-06-30,6,4,1
2025-07-01,7,7,1
2025-07-02,9,8,1
2025-07-03,4,3,0
2025-07-04,1,1,0
2025-07-05,1,1,0
2025-07-06,4,3,0
2025-07-07,11,9,2
2025-07-08,11,8,2
2025-07-09,13,11,2
2025-07-10,5,5,1
2025-07-11,4,4,0
2025-07-12,3,3,0
2025-07-13,3,3,0
2025-07-14,6,5,1
2025-07-15,16,14,9
2025-07-16,45,38,27
